NO,분야,과목,한국어 요구 수준(종합),2. 이 수업에서 요구되는 한국어 듣기 수준은 어느 정도입니까?,3. 이 수업에서 요구되는 한국어 말하기 수준은 어느 정도입니까?,4. 이 수업에서 요구되는 한국어 읽기 수준은 어느 정도입니까?,5. 이 수업에서 요구되는 한국어 쓰기 수준은 어느 정도입니까?,수업자료 사전제공,"한국문화,역사 정도",학생간 상호작용,14. 교수님 성함을 알려주세요
1,문화와 표현,재미있는글쓰기,중급A,2,2,2,2,Y,거의 없음,N,김윤경
2,문화와 표현,일본미디어오감체험,중급A,1,3,2,1,N,일부 포함,N,김미선
3,인간과 가치,대인관계심리학,중급B,2,3,2,2,Y,거의 없음,Y,최윤희
4,인간과 가치,치유로써의미술,중급B,3,2,2,2,Y,거의 없음,Y,최지우
5,인간과 가치,더나은삶을위한심리학,중급A,2,2,2,1,Y,거의 없음,Y,이민수
6,삶과 건강,몸마음챙김명상,초급,2,2,1,1,Y,거의 없음,Y,류지명
7,과학과 미래,인물로보는과학의역사,중급B,3,2,2,2,Y,일부 포함,N,김경화
8,문화와 표현,물성의미학,중급B,3,2,2,2,N,일부 포함,N,유미
9,인간과 가치,대인관계심리학,중급B,2,3,2,2,Y,거의 없음,Y,소현숙
10,삶과 건강,알렉산더테크닉,중급A,3,2,1,2,Y,거의 없음,Y,김대훈
11,인간과 가치,레퍼런스시리즈_루쉰,중급A,2,2,2,1,N,거의 없음,Y,윤희진
12,인간과 가치,레퍼런스시리즈_서사의위기,중고급,4,2,3,2,N,거의 없음,Y,윤희진
13,인간과 가치,자기발견과소통,중급B,2,2,3,2,N,거의 없음,Y,윤희진
14,"인간과 가치, 과학과 미래","과학시대,철학하기",고급,4,4,3,3,N,상당히 포함,N,서민정
15,인간과 가치,자기발견과소통,중급B,2,2,2,3,Y,상당히 포함,N,서민정
16,문화와 표현,혼자떠나는일본자유여행,초급,2,1,1,2,N,일부 포함,Y,이주영
17,인간과 가치,몸마음챙김명상,초급,2,2,1,1,N,거의 없음,Y,강화
18,삶과 건강,오감느낌숲명상,초급,2,2,1,1,Y,거의 없음,Y,강화
19,문화와 표현,합창,초급,2,1,1,1,Y,거의 없음,Y,제갈윤
20,문화와 표현,문화로만나는중국어,중급A,2,1,2,2,Y,상당히 포함,Y,김향림
21,사회와 세상,우리가사는세계,고급,4,4,2,3,N,상당히 포함,N,박혜성
22,인간과 가치,문학속캐릭터만나기,중고급,4,3,2,2,Y,거의 없음,Y,최혜자 
23,문화와 표현,CK_TED Talks,중급A,2,2,2,2,Y,일부 포함,Y,유우열
24,"인간과 가치, 문화와 표현",창작자를위한소시오드라마,중고급,3,3,3,2,Y,일부 포함,Y,강주현
25,사회와 세상,슬기로운경제생활,중고급,3,3,3,2,Y,거의 없음,N,홍명헌
26,인간과 가치,창작자를위한인문학,중고급,3,2,3,3,Y,거의 없음,N,김영
27,삶과 건강,몸마음챙김명상,초급,2,2,1,1,N,거의 없음,N,김현
28,사회와 세상,재미있는법이야기,중급B,3,1,3,2,Y,일부 포함,N,임호균 
29,인간과 가치,창작자를위한꿈작업,중고급,4,2,3,2,Y,일부 포함,Y,강경희
30,문화와 표현,동양요괴대백과,중급B,2,1,2,1,Y,상당히 포함,Y,오윤형
31,문화와 표현,"예술,인문학으로보다",중고급,3,2,3,3,N,일부 포함,N,오윤형
32,문화와 표현,치유로써의미술,중급B,3,2,2,2,Y,거의 없음,N,정소연
33,문화와 표현,"영화,만약에",중급A,2,2,2,2,N,일부 포함,Y,김태희
34,사회와 세상,레퍼런스시리즈_유발하라리,중고급,4,2,3,2,N,거의 없음,N,임동진
35,문화와 표현,레퍼런스시리즈_셰익스피어,중급A,2,1,2,2,Y,일부 포함,N,권민성
36,사회와 세상,레퍼런스시리즈_총균쇠,중고급,4,2,3,2,N,거의 없음,N,임동진
37,인간과 가치,생각의역사,고급,4,3,3,3,N,거의 없음,N,임동진
38,인간과 가치,신화와스토리텔링,중급B,3,2,2,2,N,거의 없음,N,임동진
39,삶과 건강,신체활동을통한팀빌딩,초급,2,2,1,1,Y,거의 없음,Y,유재상
40,삶과 건강,신체활동을통한팀빌딩,초급,2,1,1,1,N,거의 없음,Y,양재웅
41,인간과 가치,레퍼런스시리즈_그대들어떻게살것인가,중급A,2,2,2,2,N,일부 포함,Y,이주영
42,과학과 미래,과학적사고와상상력,중급A,2,2,2,2,Y,일부 포함,N,김경화
43,문화와 표현,세상의모든음악,초급,2,2,1,1,N,일부 포함,N,박혜성
44,문화와 표현,"영화,만약에",중급A,2,2,2,2,Y,상당히 포함,N,권민성
45,삶과 건강,몸으로배우는자기관리,초급,2,2,1,1,N,일부 포함,Y,유재상
46,인간과 가치,캐릭터분석과자기이해,중급B,3,2,2,2,Y,상당히 포함,Y,강주현
47,인간과 가치,동양고전의숲,고급,3,3,3,3,Y,일부 포함,Y,강경희
48,인간과 가치,레퍼런스시리즈_한강,중급B,2,2,3,2,N,상당히 포함,Y,윤희진
49,인간과 가치,레퍼런스시리즈_그리스비극,중급A,2,2,2,2,N,거의 없음,Y,서민정
50,문화와 표현,처음만나는문화다양성,중급A,2,2,2,2,Y,일부 포함,Y,윤희진
51,사회와 세상,역사콘텐츠와의대화,고급,3,3,3,3,Y,상당히 포함,Y,곽희정
